====================================================================================================
CuteRPG_Interior_B.png Analysis
Image size: (768, 768), Grid: 16x16, Cell size: 48px
====================================================================================================

Col Row |  Transp% |        Class | Dominant Colors
 15   4 |    59.4% |   STANDALONE | #fffbcc (yellow, 38%), #e5e0a0 (yellow, 15%), #d4ff00 (yellow-green, 12%)

  0   5 |     7.0% |     autotile |
  1   5 |    62.5% |   STANDALONE | #b28759 (olive, 42%), #724c16 (brown, 21%), #593b11 (brown, 17%)
  2   5 |    62.5% |   STANDALONE | #b28759 (olive, 42%), #724c16 (brown, 21%), #593b11 (brown, 17%)
  3   5 |    62.5% |   STANDALONE | #b28759 (olive, 42%), #724c16 (brown, 21%), #593b11 (brown, 17%)
  4   5 |    55.5% |   STANDALONE | #593b11 (brown, 36%), #b28759 (olive, 31%), #996c3d (olive, 17%)
  5   5 |    55.5% |   STANDALONE | #593b11 (brown, 36%), #b28759 (olive, 31%), #996c3d (olive, 17%)
  6   5 |    82.0% |   STANDALONE | #ffff99 (mixed, 35%), #d4ff00 (yellow-green, 35%), #e5bf00 (olive, 30%)
  7   5 |    76.6% |   STANDALONE | #5b6661 (dark gray, 20%), #ffff99 (mixed, 20%), #e5bf00 (olive, 20%)
  8   5 |    65.2% |   STANDALONE | #5b6661 (dark gray, 25%), #d8d8d8 (light gray, 18%), #ffff99 (mixed, 13%)
  9   5 |    60.5% |   STANDALONE | #fffbcc (yellow, 40%), #e5e0a0 (yellow, 16%), #5b6661 (dark gray, 10%)
 10   5 |    87.9% |   STANDALONE | #5b6661 (dark gray, 32%), #d8d8d8 (light gray, 32%), #727f79 (gray, 16%)
 11   5 |    87.9% |   STANDALONE | #5b6661 (dark gray, 32%), #d8d8d8 (light gray, 32%), #727f79 (gray, 16%)
 12   5 |    60.5% |   STANDALONE | #fffbcc (yellow, 40%), #e5e0a0 (yellow, 16%), #5b6661 (dark gray, 10%)
 13   5 |    65.2% |   STANDALONE | #5b6661 (dark gray, 25%), #d8d8d8 (light gray, 18%), #ffff99 (mixed, 13%)
 14   5 |    76.6% |   STANDALONE | #5b6661 (dark gray, 20%), #ffff99 (mixed, 20%), #d4ff00 (yellow-green, 20%)
